title,miles,price,location,link,year
2005 Toyota Camry XLE Sedan 4D,258000.0,1000.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/233684314851213/?ref=search&referral_code=undefined,2005.0
2003 Chevrolet Impala Sedan 4D,185000.0,1500.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/371346827328387/?ref=search&referral_code=undefined,2003.0
2001 Ford Ranger,198000.0,1900.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/195559308748007/?ref=search&referral_code=undefined,2001.0
2005 Nissan Altima,250000.0,1500.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/2808468846067934/?ref=search&referral_code=undefined,2005.0
2005 Chevrolet Blazer LS Sport Utility 2D,190000.0,1500.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/702156073763134/?ref=search&referral_code=undefined,2005.0
2008 Ford F-150,123000.0,3500.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/650545398974585/?ref=search&referral_code=undefined,2008.0
2001 Ford F-150,159000.0,4500.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/993002107891443/?ref=search&referral_code=undefined,2001.0
2000 Honda Accord EX Sedan 4D,183000.0,2500.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/388289395858426/?ref=search&referral_code=undefined,2000.0
2000 Chevrolet Silverado 1500,196000.0,4000.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/1454119774784907/?ref=search&referral_code=undefined,2000.0
2000 GMC Jimmy Sport Utility 4D,186000.0,1200.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/378262143429565/?ref=search&referral_code=undefined,2000.0
2005 Mazda RX-8,131000.0,4000.0,"Fountain, CO",https://www.facebook.com/marketplace/item/293091198596457/?ref=search&referral_code=undefined,2005.0
2000 Toyota Tundra Limited Pickup 4D 6 1/2 ft,178000.0,2800.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/654284511930896/?ref=search&referral_code=undefined,2000.0
2006 Ford Explorer XLT Sport Utility 4D,170000.0,1780.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/652658422282337/?ref=search&referral_code=undefined,2006.0
1993 Ford Bronco Custom,112000.0,3500.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/393842811835473/?ref=search&referral_code=undefined,1993.0
2003 Chevrolet TrailBlazer LT Sport Utility 4D,200000.0,1995.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/419027592397892/?ref=search&referral_code=undefined,2003.0
1999 Ford Explorer,255000.0,2000.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/421632555544975/?ref=search&referral_code=undefined,1999.0
2001 Chevrolet Silverado 1500,123000.0,3000.0,"Canon City, CO",https://www.facebook.com/marketplace/item/728529541065995/?ref=search&referral_code=undefined,2001.0
2006 Jeep Liberty Limited Edition Sport Utility 4D,194000.0,2600.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/397487861432497/?ref=search&referral_code=undefined,2006.0
1997 Jeep Grand Cherokee TSi Sport Utility 4D,232000.0,2000.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/449019789419916/?ref=search&referral_code=undefined,1997.0
2000 Dodge Dakota Sport,151000.0,2200.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/811542932748871/?ref=search&referral_code=undefined,2000.0
2001 Ford F-150 Short Bed 4D,153000.0,2250.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/200213488323533/?ref=search&referral_code=undefined,2001.0
2005 Cadillac STS,135000.0,1300.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/354768399194545/?ref=search&referral_code=undefined,2005.0
2006 Ford Expedition XLT Sport SUV 4D,255000.0,1500.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/664576337584055/?ref=search&referral_code=undefined,2006.0
1993 Chevrolet k5 blazer 2 door,200000.0,3500.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/1479572098918931/?ref=search&referral_code=undefined,1993.0
