title,miles,price,location,link,year
,,100.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/495844114727901/?ref=search&referral_code=undefined,
2003 Dodge Ram 1500 SLT Pickup 4D 6 1/4 ft,215000.0,3600.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/485085685791970/?ref=search&referral_code=undefined,2003.0
2008 Nissan Altima 2.5 S Coupe 2D,125000.0,3500.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/3563567513733199/?ref=search&referral_code=undefined,2008.0
1990 Ford Ranger,47000.0,3300.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/1160289177748247/?ref=search&referral_code=undefined,1990.0
2010 Chevrolet Cobalt LS Sedan 4D,180000.0,2300.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/2148595881941555/?ref=search&referral_code=undefined,2010.0
2010 Honda Civic LX Sedan 4D,185000.0,2200.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/703913443889417/?ref=search&referral_code=undefined,2010.0
2002 Dodge Dakota Pickup,185000.0,3700.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/707916463036072/?ref=search&referral_code=undefined,2002.0
2001 Ford Ranger,198000.0,1800.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/195559308748007/?ref=search&referral_code=undefined,2001.0
2005 Ford F-150 FX4 Pickup 4D 5 1/2 ft,185000.0,3500.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/837045183746027/?ref=search&referral_code=undefined,2005.0
2003 Chevrolet Tahoe LT Sport Utility 4D,207000.0,3700.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/402175634553739/?ref=search&referral_code=undefined,2003.0
1996 Chevrolet Silverado 1500 Short Bed,176000.0,2800.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/415099379853950/?ref=search&referral_code=undefined,1996.0
1995 Ford F-150 Long Bed,125000.0,2000.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/828795504521318/?ref=search&referral_code=undefined,1995.0
,,2200.0,"Cripple Creek, CO",https://www.facebook.com/marketplace/item/1088163788287452/?ref=search&referral_code=undefined,
2008 Ford F-150,123000.0,3500.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/650545398974585/?ref=search&referral_code=undefined,2008.0
1999 Ford Ranger Pickup 2D,216000.0,2600.0,"Fountain, CO",https://www.facebook.com/marketplace/item/420150075807968/?ref=search&referral_code=undefined,1999.0
1990 Chevrolet Silverado 1500,295000.0,1750.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/3406424999455435/?ref=search&referral_code=undefined,1990.0
2005 Ford F-150 XLT Pickup 4D 6 1/2 ft,198000.0,5600.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/378006176837464/?ref=search&referral_code=undefined,2005.0
2002 Acura RL,114000.0,900.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/985565845270270/?ref=search&referral_code=undefined,2002.0
1974 Chevrolet Silverado 1500,900000.0,4000.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/3634185700004223/?ref=search&referral_code=undefined,1974.0
2006 Ford F-150,215000.0,2950.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/960213404721482/?ref=search&referral_code=undefined,2006.0
1998 Buick Century Custom Sedan 4D,161000.0,1200.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/991000121380882/?ref=search&referral_code=undefined,1998.0
1992 Ford F-150,205000.0,3800.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/942925046239423/?ref=search&referral_code=undefined,1992.0
2005 Dodge Ram 1500,151000.0,6500.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/2076041895860642/?ref=search&referral_code=undefined,2005.0
1997 Jeep Grand Cherokee TSi Sport Utility 4D,232000.0,2000.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/449019789419916/?ref=search&referral_code=undefined,1997.0
